Categoria,Vídeo,Título,Objetivo,Ferramentas/Recursos,Tempo Estimado (min),Observações
Angular,5.6,Estilização com Bootstrap,Integrar Bootstrap e criar layout simples e responsivo.,Bootstrap CDN,10,Mostrar grid e componentes prontos.
NestJS + Supabase,6.1,O que é backend? Explicação para iniciantes,"Explicar o papel do backend, requisições, APIs e banco de dados.",Slides e diagrama,10,Usar analogia com garçom/cozinha.
NestJS + Supabase,6.2,Instalando NestJS e criando projeto,"Instalar NestJS CLI, criar API e rodar servidor.","Node.js, NestJS CLI",12,Testar rota GET básica.
NestJS + Supabase,6.3,Criando CRUD com DTOs e Services,"Criar controllers, DTOs e services para um CRUD completo.",NestJS,15,Explicar separação de camadas.
NestJS + Supabase,6.4,Conectando com banco PostgreSQL (Supabase),"Criar banco e tabelas, configurar ambiente e testar conexão.","Supabase, pgAdmin",12,Mostrar erro de conexão e solução.
NestJS + Supabase,6.5,Testando API com Postman,Testar todas as rotas com dados reais e validar respostas.,Postman,10,Salvar coleção para reuso.
Integração Fullstack,7.1,Conectando Angular com NestJS,Configurar URL base e serviços Angular para consumir a API NestJS.,"Angular, NestJS",10,Mostrar testes e falhas.
Integração Fullstack,7.2,Implementando CRUD no Angular com API,"Criar tela com cadastro, listagem, edição e exclusão de itens.",Angular,15,Mostrar interação real e feedbacks.
Deploy Web,8.1,Criando conta e projeto no Firebase,"Criar conta no Firebase, configurar CLI e projeto web.",Firebase CLI,10,Verificar permissões e billing.
Deploy Web,8.2,Publicando frontend Angular no Firebase,Gerar build de produção e subir site com Firebase Hosting.,"Angular, Firebase CLI",10,Mostrar domínio público.
Deploy Web,8.3,Deploy do NestJS na Render,"Criar app no Render, conectar repositório GitHub e configurar build.","Render, GitHub",12,Lidar com erro de build.
Deploy Web,8.4,Configurando variáveis de ambiente,Explicar uso de .env e como configurar em produção.,"NestJS, Render",10,Evitar vazamento de dados sensíveis.
Portfólio e Soft Skills,9.1,Como estruturar seu GitHub para atrair oportunidades,"Explicar README, organização, commits e projetos fixados.",GitHub,10,Mostrar exemplo de repositório ideal.
Portfólio e Soft Skills,9.2,LinkedIn para desenvolvedores iniciantes,"Criar perfil, escrever bio, destacar projetos e certificados.",LinkedIn,12,Evitar clichês comuns.
Portfólio e Soft Skills,9.3,O que publicar no LinkedIn como iniciante?,"Exemplos de posts, projetos, estudos e engajamento.",LinkedIn,10,Mostrar posts reais.
Portfólio e Soft Skills,9.4,Como estudar sozinho com eficiência,"Criar rotina de estudos, usar fontes confiáveis e revisar com frequência.","Artigos, vídeos, GitHub",10,Citar método Pomodoro e mapas mentais.
Portfólio e Soft Skills,9.5,Participação em comunidades e colaboração,"Onde encontrar devs, eventos, open source e como participar.","Discord, GitHub, eventos",10,Mostrar exemplos reais.
Portfólio e Soft Skills,9.6,"Postura profissional: humildade, curiosidade e consistência",Mostrar que não há pergunta boba e que ajudar/receber ajuda é essencial.,"Slides, depoimentos",8,Fechar com mensagem motivadora.
